Week,Statewide_Weighted_AQI
2022-02-20 23:59:59.999999999,59.56882312382852
2022-02-27 23:59:59.999999999,52.76564627732231
2022-03-06 23:59:59.999999999,56.33323465415615
2022-03-13 23:59:59.999999999,53.97495985220009
2022-03-20 23:59:59.999999999,53.278199326159175
2022-03-27 23:59:59.999999999,57.28816814649406
2022-04-03 23:59:59.999999999,52.46759878660093
2022-04-10 23:59:59.999999999,73.74155449693205
2022-04-17 23:59:59.999999999,59.78257593489504
2022-04-24 23:59:59.999999999,53.31075914239997
2022-05-01 23:59:59.999999999,76.2980368237972
2022-05-08 23:59:59.999999999,74.70679543817121
2022-05-15 23:59:59.999999999,69.47572033725113
2022-05-22 23:59:59.999999999,70.52638703226329
2022-05-29 23:59:59.999999999,103.68675023912697
2022-06-05 23:59:59.999999999,65.43846621677957
